No Kuesioner,Nama Kuesioner,Dusun / Kampung,Kelurahan,Kecamatan,Kota,DAPIL,Provinsi,P1,P2,P3,P4,P5,P6,P7,P8,P9,Pilihan Presiden
1,Kuesioner 1,lambaro,lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,6,15,4,1,Aswaja,suku gayo,5,JOKOWI WIDODO dan MA'RUF AMIN,GOLKAR / SULAIMAN ABDA,1
2,Kuesioner 2,,,,,ACEH I,Aceh,,,,,,,,,,
3,Kuesioner 3,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,6,8,5,1,ASWAJA,Aceh,3,2,PAN,1
4,Kuesioner 4,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,3,5,1,9,Aceh,5,2,2,2
5,Kuesioner 5,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,6,10,5,1,8,Aceh,3,PRABOWO SUBIANTO DAN SANDIAGA UNO,PKS,2
6,Kuesioner 6,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,5,6,5,1,9,Aceh,4,2,2,2
7,Kuesioner 7,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,4,5,1,9,Aceh,2,Prabowo dan Sandiaga Uno,2,2
8,Kuesioner 8,Lambaro Kafe,Lambaro Kafe,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,3,5,1,9,Aceh,5,2,2,2
9,Kuesioner 9,Lambaro,Lambaro,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,4,5,1,9,Aceh,1,Nasdem,Nasdem,3
10,Kuesioner 10,Lambaro,Lambaro Kafe,Ingin Jaya,Kab. Aceh Besar,ACEH I,Aceh,4,15,5,1,8,Aceh,4,PRABOWO SUBIANTO DAN SANDIAGA UNO,GERINDRA,2
11,Kuesioner 11,metuah,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,12,3,1,13,ALAS,1,PRABOWO & SANDI,2,2
12,Kuesioner 12,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,mahasiswi,8,1,13,ALAS,1,PRABOWO & SANDI,GOLKAR,2
13,Kuesioner 13,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,4,8,1,13,ALAS,1,PRABOWO & SANDI,GOLKAR,2
14,Kuesioner 14,Lawe hijo,Lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,12,3,1,14,ALAS,3,PRABOWO & SANDI,GOLKAR,2
15,Kuesioner 15,lawe hijo,lawe hijo ,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,4,12,3,1,13,ALAS,2,PRABOWO & SANDI,GOLKAR,2
16,Kuesioner 16,lawe hijo,LAWE HIJO METUAH,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,3,SISWI,1,1,13,ALAS,1,PRABOWO & SANDI,GOLKAR,2
17,Kuesioner 17,lawe hijo,lawe hijo metuah,Bambel,Kab. Aceh Tenggara,ACEH I,Aceh,6,7,5,1,13,ALAS,4,2,2,2
